X,y
-1.254598812,1.466657049
4.507143064,88.79322653
2.319939418,21.08266984
0.986584842,-7.328046158
-3.439813596,55.61439129
-3.440054797,55.34133869
-4.419163878,87.92144988
3.661761458,58.46153931
1.011150117,-6.722055416
2.080725778,16.11722635
-4.794155057,100.6859361
4.699098522,92.94865297
3.324426408,48.44286355
-2.876608893,40.46936111
-3.181750328,60.64539538
-3.165954901,46.50133947
-1.95757757,19.30489787
0.247564316,-0.319770918
-0.680549814,-13.2660035
-2.087708598,19.40126135
1.118528947,6.111823206
-3.605061393,78.19004133
-2.078553515,17.90284349
-1.336381567,10.44899936
-0.439300158,0.590736671
2.851759614,27.24697373
-3.003262178,49.73070922
0.142344384,6.106642918
0.924145689,10.17145922
-4.535495873,85.29315302
1.075448519,16.42700731
-3.294758763,37.63465038
-4.34948407,89.82590929
4.488855373,108.1978465
4.656320331,89.641645
3.083973481,38.26863411
-1.953862308,17.97631156
-4.02327886,68.8126723
1.842330265,2.868506177
-0.598475063,2.160279601
-3.779617652,55.78636345
-0.048230899,3.799207433
-4.656114789,90.2019283
4.093204021,87.79391144
-2.412200184,19.91816744
1.625222844,9.309579681
-1.882889239,22.46186123
0.200680212,-9.665688068
0.467102793,2.801512065
-3.151455445,55.14966343
4.695846278,86.36950931
2.751328234,35.54120259
4.394989416,89.00075619
3.948273504,76.40446946
0.978999788,-5.582623054
4.21874235,69.52638867
-4.115074979,80.37782192
-3.040171376,43.96776636
-4.547727111,95.07214124
-1.746696692,16.50085768
-1.113227103,0.136537851
-2.286509682,25.38459895
3.287375092,50.97533725
-1.432466733,3.519012892
-2.190654903,36.52155616
0.426960832,4.61099335
-3.59075775,48.49050752
3.021969808,46.3477857
-4.254493563,73.6557663
4.868869366,112.9731769
2.722447693,42.62151112
-3.012843185,34.2820497
-4.944778829,117.7357785
3.154614285,48.08440819
2.068573438,25.8319636
2.29007168,38.77427122
2.712703467,31.15131552
-4.259553483,75.61719211
-1.415342715,1.898262061
-3.841309405,59.87397846
3.631034259,58.71303037
1.232981268,9.570308434
-1.691019751,15.08149149
-4.364416497,92.33405711
-1.890176783,16.18147235
-1.74816678,25.38066452
2.296061783,21.60629404
1.375574714,30.2762794
3.872127426,72.47550739
-0.277850748,-6.509855779
-3.804057541,56.55170199
2.132447872,24.322782
2.607850486,28.81627643
0.612771976,7.401706677
2.7096718,36.82634667
-0.062044036,-0.56530872
0.227328294,-6.541798055
-0.724589816,-9.756140988
-4.745808733,97.78003275
-3.92108573,76.03830022
-4.685708143,100.5141236
1.364104113,-1.592400094
-1.856440189,16.8941132
0.085706912,3.115594574
4.075664739,67.67883431
-2.507077709,29.51427471
-0.89617077,4.079718965
2.555511385,20.2441106
-2.712018345,35.95999465
-4.230200902,85.01197472
-2.102485471,28.55641314
-3.387787127,60.07737371
4.296976523,72.06667765
3.081203796,35.21957542
1.334037565,12.12873515
3.714605902,66.20262414
3.036720769,45.61791012
-3.134299411,75.02909952
3.925589985,73.91327937
0.393422419,9.781040521
